Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-2373,Service outage detected - No connection to database.,Complaint,User D,User A,Group B,Service B,Closed,High,P2,Medium,Medium,Model A,2025-08-19 18:12:40,2025-08-19 21:12:40,2025-08-20 01:12:40
CR-2374,Critical alert: Database server overload detected.,Facilities,User A,User D,Group A,Service B,Closed,High,P2,Medium,Low,Model A,2025-09-11 18:12:40,2025-09-11 19:12:40,2025-09-11 22:12:40
CR-2375,Performance report: Sluggish response times on application.,Data,User A,User D,Group A,Service B,Canceled,High,P1,High,High,Model C,2024-11-11 18:12:40,2024-11-11 19:12:40,2024-11-11 23:12:40
CR-2376,Network issue: Unable to connect to external API.,SLA Breach,User B,"",Group C,Service C,Canceled,High,P2,Medium,Low,Model C,2024-10-19 18:12:40,2024-10-19 20:12:40,2024-10-19 21:12:40
CR-2377,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User C,User B,Group A,Service C,New,Medium,P1,Low,Medium,Model C,2024-10-19 18:12:40,,
CR-2378,Data breach notification sent to affected users.,Network,User B,"",Group B,Service B,Closed,High,P3,Low,Low,Model B,2024-02-18 18:12:40,2024-02-18 20:12:40,2024-02-18 23:12:40
CR-2379,Data breach notification sent to affected users.,Facilities,User C,User C,Group A,Service A,Resolved,Medium,P2,Medium,Low,Model C,2025-05-01 18:12:40,2025-05-01 21:12:40,2025-05-02 00:12:40
CR-2380,Routine check: All systems operational - No issues detected.,Access,User A,User B,Group C,Service C,New,High,P2,High,High,Model B,2025-08-25 18:12:40,,
CR-2381,Data breach notification sent to affected users.,Facilities,User C,User A,Group C,Service A,In Progress,Low,P2,Low,Low,Model C,2024-12-23 18:12:40,2024-12-23 19:12:40,
CR-2382,Performance report: Sluggish response times on application.,SLA Breach,User B,User D,Group C,Service B,On Hold,High,P1,Low,Low,Model B,2024-05-31 18:12:40,,
CR-2383,Performance report: Sluggish response times on application.,Failure,User B,User D,Group C,Service C,In Progress,Low,P1,Low,Low,Model C,2024-08-05 18:12:40,2024-08-05 21:12:40,
CR-2384,Network issue: Unable to connect to external API.,Network,User C,User C,Group B,Service B,Closed,High,P2,High,High,Model C,2024-02-14 18:12:40,2024-02-14 20:12:40,2024-02-14 23:12:40
CR-2385,Failed Workflow - ID: 0000,SLA Breach,User D,"",Group A,Service C,Canceled,Medium,P3,Low,Low,Model B,2024-09-15 18:12:40,2024-09-15 21:12:40,2024-09-16 01:12:40
CR-2386,Security alert: Unauthorized access attempt detected.,Hardware,User C,User C,Group B,Service C,Resolved,High,P3,Medium,High,Model A,2024-06-08 18:12:40,2024-06-08 20:12:40,2024-06-08 23:12:40
CR-2387,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Hardware,User A,"",Group C,Service A,In Progress,High,P3,High,High,Model A,2025-06-11 18:12:40,2025-06-11 20:12:40,
CR-2388,Service outage detected - No connection to database.,Failure,User B,"",Group A,Service B,In Progress,Low,P2,Medium,Low,Model C,2024-12-16 18:12:40,2024-12-16 19:12:40,
CR-2389,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Network,User B,User A,Group C,Service C,Canceled,High,P2,Medium,High,Model B,2025-04-21 18:12:40,2025-04-21 20:12:40,2025-04-22 00:12:40
CR-2390,Network issue: Unable to connect to external API.,Complaint,User A,User A,Group B,Service C,New,Medium,P3,Low,High,Model B,2025-07-11 18:12:40,,
CR-2391,Service unavailable due to maintenance,Failure,User C,"",Group C,Service C,On Hold,Low,P2,Low,Low,Model C,2024-07-17 18:12:40,,
CR-2392,Network issue: Unable to connect to external API.,Data,User B,User B,Group C,Service A,Resolved,Low,P1,High,Low,Model A,2025-04-06 18:12:40,2025-04-06 20:12:40,2025-04-06 23:12:40
CR-2393,Service unavailable due to maintenance,Hardware,User A,User A,Group C,Service C,New,Low,P3,Low,Low,Model B,2025-06-05 18:12:40,,
CR-2394,Routine check: All systems operational - No issues detected.,Failure,User C,User C,Group C,Service A,Canceled,High,P1,Low,High,Model B,2024-01-29 18:12:40,2024-01-29 21:12:40,2024-01-29 22:12:40
CR-2395,Service unavailable due to maintenance,Facilities,User C,User D,Group C,Service A,In Progress,High,P2,High,Medium,Model B,2024-04-14 18:12:40,2024-04-14 21:12:40,
CR-2396,Service outage detected - No connection to database.,Hardware,User A,User B,Group A,Service B,Closed,High,P1,High,Low,Model A,2024-11-30 18:12:40,2024-11-30 20:12:40,2024-12-01 00:12:40
CR-2397,Service unavailable due to maintenance,SLA Breach,User C,User A,Group C,Service A,Closed,Medium,P2,Low,Medium,Model C,2025-05-16 18:12:40,2025-05-16 19:12:40,2025-05-16 23:12:40
CR-2398,Data breach notification sent to affected users.,Failure,User D,User B,Group A,Service C,Resolved,High,P2,High,Low,Model A,2024-03-14 18:12:40,2024-03-14 20:12:40,2024-03-14 22:12:40
CR-2399,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User A,User D,Group B,Service B,Canceled,High,P2,Low,Low,Model B,2024-10-28 18:12:40,2024-10-28 21:12:40,2024-10-28 23:12:40
CR-2400,Suspicious activity detected on account: User A.,Software,User A,User D,Group C,Service B,Canceled,High,P3,High,Low,Model A,2024-04-09 18:12:40,2024-04-09 20:12:40,2024-04-09 21:12:40
CR-2401,User login failed: Account locked due to excessive login attempts.,Failure,User A,User C,Group C,Service A,On Hold,Low,P2,Low,High,Model B,2025-06-19 18:12:40,,
CR-2402,Service unavailable due to maintenance,Software,User D,"",Group C,Service B,Canceled,Medium,P3,High,Low,Model B,2023-12-14 18:12:40,2023-12-14 20:12:40,2023-12-14 21:12:40
CR-2403,Service unavailable due to maintenance,Facilities,User D,"",Group B,Service B,New,High,P2,Low,Medium,Model A,2024-03-28 18:12:40,,
CR-2404,Network issue: Unable to connect to external API.,Hardware,User D,User B,Group B,Service A,Resolved,Low,P1,Low,Low,Model B,2025-03-11 18:12:40,2025-03-11 21:12:40,2025-03-11 22:12:40
CR-2405,Network issue: Unable to connect to external API.,Complaint,User A,User A,Group B,Service A,In Progress,Low,P3,High,High,Model C,2024-09-10 18:12:40,2024-09-10 19:12:40,
CR-2406,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User D,User A,Group A,Service B,Canceled,Low,P1,High,High,Model B,2024-09-12 18:12:40,2024-09-12 21:12:40,2024-09-13 00:12:40
CR-2407,Service unavailable due to maintenance,Complaint,User B,User B,Group C,Service A,New,Low,P2,High,Medium,Model C,2024-02-24 18:12:40,,
CR-2408,Service unavailable due to maintenance,Access,User A,User A,Group B,Service B,Resolved,High,P2,Medium,Low,Model B,2024-02-12 18:12:40,2024-02-12 20:12:40,2024-02-12 23:12:40
CR-2409,Failed Workflow - ID: 0000,Access,User A,User D,Group A,Service C,On Hold,High,P1,Low,High,Model B,2025-08-25 18:12:40,,
CR-2410,Routine check: All systems operational - No issues detected.,Hardware,User A,"",Group C,Service A,Canceled,Medium,P1,Medium,High,Model C,2024-09-11 18:12:40,2024-09-11 19:12:40,2024-09-11 22:12:40
CR-2411,Service unavailable due to maintenance,Hardware,User C,User B,Group B,Service A,New,High,P2,Low,Low,Model B,2025-07-05 18:12:40,,
CR-2412,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User A,User D,Group C,Service A,Resolved,High,P1,High,Low,Model B,2024-12-25 18:12:40,2024-12-25 19:12:40,2024-12-25 20:12:40
CR-2413,Failed Workflow - ID: 0000,Software,User D,User B,Group B,Service A,On Hold,Low,P1,Medium,Medium,Model C,2025-10-09 18:12:40,,
CR-2414,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User B,User D,Group B,Service C,Closed,Low,P2,Medium,Low,Model B,2024-06-20 18:12:40,2024-06-20 20:12:40,2024-06-20 22:12:40
CR-2415,Data breach notification sent to affected users.,Failure,User B,User D,Group A,Service B,In Progress,Low,P1,Low,High,Model A,2025-10-26 18:12:40,2025-10-26 20:12:40,
CR-2416,Failed Workflow - ID: 0000,Complaint,User C,User D,Group A,Service A,Canceled,Low,P1,Medium,Low,Model A,2025-07-19 18:12:40,2025-07-19 20:12:40,2025-07-19 21:12:40
CR-2417,Performance report: Sluggish response times on application.,Data,User C,"",Group A,Service B,On Hold,Low,P2,Low,Low,Model A,2024-03-04 18:12:40,,
CR-2418,Routine check: All systems operational - No issues detected.,Hardware,User C,User A,Group B,Service A,Closed,Medium,P3,Low,Low,Model C,2024-12-25 18:12:40,2024-12-25 20:12:40,2024-12-25 22:12:40
CR-2419,Data breach notification sent to affected users.,Hardware,User B,User A,Group A,Service C,In Progress,High,P1,High,Medium,Model B,2025-07-01 18:12:40,2025-07-01 21:12:40,
CR-2420,Security alert: Unauthorized access attempt detected.,Failure,User C,"",Group B,Service C,On Hold,Low,P2,High,Low,Model A,2025-10-22 18:12:40,,
CR-2421,Security alert: Unauthorized access attempt detected.,Access,User D,User C,Group B,Service B,Canceled,Low,P2,High,Low,Model A,2025-02-14 18:12:40,2025-02-14 21:12:40,2025-02-15 01:12:40
CR-2422,Service unavailable due to maintenance,Software,User A,User C,Group B,Service B,Canceled,High,P2,High,High,Model A,2024-04-03 18:12:40,2024-04-03 19:12:40,2024-04-03 23:12:40
CR-2423,Routine check: All systems operational - No issues detected.,Complaint,User C,"",Group A,Service C,New,Medium,P1,Low,Medium,Model C,2024-05-08 18:12:40,,
CR-2424,Critical alert: Database server overload detected.,Complaint,User C,User C,Group B,Service C,In Progress,Low,P1,Low,Medium,Model A,2024-10-25 18:12:40,2024-10-25 20:12:40,
CR-2425,Network issue: Unable to connect to external API.,Access,User A,User D,Group B,Service B,On Hold,High,P3,Low,Low,Model C,2024-08-17 18:12:40,,
CR-2426,User login failed: Account locked due to excessive login attempts.,Complaint,User A,User A,Group A,Service C,Resolved,Medium,P3,High,High,Model A,2024-10-31 18:12:40,2024-10-31 21:12:40,2024-10-31 22:12:40
CR-2427,Performance report: Sluggish response times on application.,Complaint,User C,"",Group B,Service B,Closed,Medium,P2,Low,High,Model B,2024-10-16 18:12:40,2024-10-16 20:12:40,2024-10-16 22:12:40
CR-2428,Service unavailable due to maintenance,Failure,User A,User D,Group C,Service A,Resolved,High,P1,High,Low,Model A,2025-09-22 18:12:40,2025-09-22 20:12:40,2025-09-22 21:12:40
CR-2429,Performance report: Sluggish response times on application.,Access,User C,User D,Group C,Service A,Canceled,Medium,P1,Low,Medium,Model B,2024-11-14 18:12:40,2024-11-14 21:12:40,2024-11-15 00:12:40
CR-2430,Security alert: Unauthorized access attempt detected.,Software,User A,User C,Group B,Service C,Canceled,Low,P1,Medium,High,Model B,2024-01-20 18:12:40,2024-01-20 21:12:40,2024-01-20 22:12:40
CR-2431,Data breach notification sent to affected users.,Failure,User B,User B,Group A,Service A,Resolved,Low,P3,High,Low,Model C,2024-04-23 18:12:40,2024-04-23 21:12:40,2024-04-24 01:12:40
CR-2432,Critical alert: Database server overload detected.,Access,User A,"",Group B,Service B,Canceled,High,P2,High,Low,Model B,2024-10-15 18:12:40,2024-10-15 19:12:40,2024-10-15 22:12:40
CR-2433,Data breach notification sent to affected users.,Complaint,User C,User D,Group C,Service A,New,High,P1,Medium,High,Model A,2025-01-25 18:12:40,,
CR-2434,Network issue: Unable to connect to external API.,SLA Breach,User B,User A,Group A,Service B,On Hold,High,P2,Medium,Medium,Model A,2025-09-19 18:12:40,,
CR-2435,Suspicious activity detected on account: User A.,Software,User A,User B,Group B,Service C,Closed,High,P1,Low,Medium,Model B,2024-02-04 18:12:40,2024-02-04 19:12:40,2024-02-04 20:12:40
CR-2436,Routine check: All systems operational - No issues detected.,Failure,User B,User C,Group C,Service C,Resolved,Medium,P2,High,High,Model C,2025-03-04 18:12:40,2025-03-04 21:12:40,2025-03-04 22:12:40
CR-2437,Security patch applied: Monitoring for any issues.,Network,User B,User A,Group B,Service A,On Hold,High,P3,Low,Low,Model C,2024-08-14 18:12:40,,
CR-2438,Suspicious activity detected on account: User A.,Software,User D,User B,Group A,Service B,On Hold,Medium,P1,Low,High,Model B,2024-07-28 18:12:40,,
CR-2439,Service unavailable due to maintenance,Failure,User A,"",Group B,Service A,Resolved,Medium,P2,Medium,High,Model A,2024-04-24 18:12:40,2024-04-24 20:12:40,2024-04-24 21:12:40
CR-2440,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User D,User D,Group C,Service C,Canceled,Medium,P1,Low,Medium,Model B,2025-03-09 18:12:40,2025-03-09 20:12:40,2025-03-09 23:12:40
CR-2441,User login failed: Account locked due to excessive login attempts.,Hardware,User B,User B,Group B,Service B,Resolved,High,P2,Medium,High,Model B,2024-04-27 18:12:40,2024-04-27 21:12:40,2024-04-28 01:12:40
CR-2442,Security patch applied: Monitoring for any issues.,Failure,User C,"",Group A,Service A,In Progress,Low,P3,Low,High,Model B,2024-09-22 18:12:40,2024-09-22 21:12:40,
CR-2443,Performance report: Sluggish response times on application.,Network,User C,User C,Group B,Service B,Closed,Low,P1,Low,Medium,Model A,2025-02-15 18:12:40,2025-02-15 19:12:40,2025-02-15 22:12:40
CR-2444,User login failed: Account locked due to excessive login attempts.,Complaint,User A,User A,Group C,Service C,Resolved,Medium,P1,Low,High,Model C,2025-11-08 18:12:40,2025-11-08 20:12:40,2025-11-08 21:12:40
CR-2445,Service unavailable due to maintenance,Hardware,User C,User A,Group C,Service A,Canceled,High,P3,Low,Low,Model B,2025-03-19 18:12:40,2025-03-19 19:12:40,2025-03-19 20:12:40
CR-2446,Security patch applied: Monitoring for any issues.,SLA Breach,User A,User D,Group A,Service C,On Hold,High,P1,High,Medium,Model A,2024-06-19 18:12:40,,
CR-2447,Routine check: All systems operational - No issues detected.,Failure,User B,"",Group B,Service A,New,High,P1,High,Low,Model B,2024-07-05 18:12:40,,
CR-2448,Routine check: All systems operational - No issues detected.,Software,User B,"",Group A,Service B,Closed,Low,P2,High,Medium,Model B,2023-12-12 18:12:40,2023-12-12 20:12:40,2023-12-13 00:12:40
CR-2449,Service outage detected - No connection to database.,Facilities,User D,User D,Group B,Service B,Closed,Low,P3,Medium,High,Model B,2025-09-14 18:12:40,2025-09-14 19:12:40,2025-09-14 21:12:40
CR-2450,Failed Workflow - ID: 0000,Access,User D,User A,Group C,Service A,In Progress,High,P1,Medium,High,Model B,2024-07-21 18:12:40,2024-07-21 19:12:40,
CR-2451,Performance report: Sluggish response times on application.,Data,User B,User C,Group B,Service B,On Hold,Medium,P3,Low,High,Model C,2024-04-13 18:12:40,,
CR-2452,Data breach notification sent to affected users.,Access,User A,User D,Group C,Service B,New,Medium,P2,High,High,Model B,2025-10-20 18:12:40,,
CR-2453,Service unavailable due to maintenance,Complaint,User A,User C,Group C,Service C,Resolved,Medium,P2,Medium,Low,Model B,2025-07-06 18:12:40,2025-07-06 20:12:40,2025-07-06 23:12:40
CR-2454,Security alert: Unauthorized access attempt detected.,Hardware,User C,User D,Group B,Service A,Closed,Low,P1,Medium,High,Model B,2025-07-16 18:12:40,2025-07-16 21:12:40,2025-07-17 01:12:40
CR-2455,User login failed: Account locked due to excessive login attempts.,Complaint,User B,User B,Group B,Service B,On Hold,High,P2,Low,Low,Model A,2024-01-23 18:12:40,,
CR-2456,Suspicious activity detected on account: User A.,Hardware,User C,User A,Group A,Service C,Canceled,Low,P2,Low,Low,Model A,2025-05-05 18:12:40,2025-05-05 19:12:40,2025-05-05 21:12:40
CR-2457,Failed Workflow - ID: 0000,Hardware,User A,"",Group A,Service B,On Hold,High,P1,Medium,Low,Model B,2025-09-28 18:12:40,,
CR-2458,Service outage detected - No connection to database.,Hardware,User C,User C,Group B,Service B,Closed,High,P3,Medium,High,Model A,2025-02-07 18:12:40,2025-02-07 21:12:40,2025-02-08 00:12:40
CR-2459,Network issue: Unable to connect to external API.,Data,User C,User D,Group A,Service C,In Progress,High,P1,Low,High,Model A,2025-01-26 18:12:40,2025-01-26 20:12:40,
CR-2460,Service unavailable due to maintenance,Access,User A,User B,Group A,Service B,In Progress,Low,P1,Low,Low,Model C,2025-08-21 18:12:40,2025-08-21 21:12:40,
CR-2461,Failed Workflow - ID: 0000,Hardware,User D,User D,Group B,Service C,Resolved,Medium,P3,High,High,Model C,2025-05-09 18:12:40,2025-05-09 20:12:40,2025-05-09 22:12:40
CR-2462,Service outage detected - No connection to database.,SLA Breach,User A,User B,Group B,Service B,In Progress,Medium,P2,Low,Low,Model B,2025-09-05 18:12:40,2025-09-05 20:12:40,
CR-2463,Service outage detected - No connection to database.,Failure,User A,User B,Group C,Service C,In Progress,Low,P3,High,Medium,Model B,2023-11-26 18:12:40,2023-11-26 21:12:40,
CR-2464,Service unavailable due to maintenance,Failure,User C,"",Group C,Service C,In Progress,Low,P1,Medium,Low,Model B,2025-04-18 18:12:40,2025-04-18 21:12:40,
CR-2465,Network issue: Unable to connect to external API.,Hardware,User B,User A,Group B,Service B,Closed,Low,P1,High,Medium,Model B,2024-05-11 18:12:40,2024-05-11 20:12:40,2024-05-11 22:12:40
CR-2466,Routine check: All systems operational - No issues detected.,Access,User D,User B,Group C,Service C,Resolved,Low,P2,High,Low,Model A,2024-12-27 18:12:40,2024-12-27 19:12:40,2024-12-27 21:12:40
CR-2467,Suspicious activity detected on account: User A.,Network,User B,User A,Group A,Service A,On Hold,High,P1,High,High,Model A,2025-04-26 18:12:40,,
CR-2468,Network issue: Unable to connect to external API.,SLA Breach,User D,User A,Group C,Service A,Canceled,Low,P3,Medium,Low,Model A,2024-02-17 18:12:40,2024-02-17 19:12:40,2024-02-17 21:12:40
CR-2469,Routine check: All systems operational - No issues detected.,Data,User C,User C,Group B,Service C,Canceled,High,P1,High,Medium,Model A,2024-08-04 18:12:40,2024-08-04 20:12:40,2024-08-04 23:12:40
CR-2470,Suspicious activity detected on account: User A.,Failure,User C,"",Group A,Service A,New,Medium,P1,High,High,Model B,2024-05-09 18:12:40,,
CR-2471,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User C,User C,Group C,Service B,Closed,High,P2,Medium,Low,Model B,2023-12-07 18:12:40,2023-12-07 21:12:40,2023-12-08 00:12:40
